"","strategy","date","symbol","median"
"131","C.EW","2009","EEM",0.0377335202332059
"132","C.EW","2009","EFA",0.0367749016765224
"133","C.EW","2009","GLD",0.246903582147809
"134","C.EW","2009","IWM",0.0370628614359441
"135","C.EW","2009","IYR",0.037256408011199
"136","C.EW","2009","QQQ",0.0369596847479354
"137","C.EW","2009","SPY",0.0367664655902278
"138","C.EW","2009","TLT",0.244350087940035
"139","C.EW","2009","USO",0.0371277386327393
"140","C.EW","2009","UUP",0.248673585692028
"141","C.EW","2010","EEM",0.0377390522298042
"142","C.EW","2010","EFA",0.0382901742221428
"143","C.EW","2010","GLD",0.248640685460571
"144","C.EW","2010","IWM",0.0385996984320563
"145","C.EW","2010","IYR",0.0377578355556659
"146","C.EW","2010","QQQ",0.0380705524373005
"147","C.EW","2010","SPY",0.0379544715641154
"148","C.EW","2010","TLT",0.246093722267028
"149","C.EW","2010","USO",0.0378401360879078
"150","C.EW","2010","UUP",0.247557267548019
"151","C.EW","2011","EEM",0.0360039427761251
"152","C.EW","2011","EFA",0.0359782910813783
"153","C.EW","2011","GLD",0.253384162440604
"154","C.EW","2011","IWM",0.0359836498586558
"155","C.EW","2011","IYR",0.0357849250630471
"156","C.EW","2011","QQQ",0.0360088569952919
"157","C.EW","2011","SPY",0.0357945431883956
"158","C.EW","2011","TLT",0.248413900343757
"159","C.EW","2011","USO",0.0358983709851009
"160","C.EW","2011","UUP",0.24877121887304
"161","C.EW","2012","EEM",0.0476451939775697
"162","C.EW","2012","EFA",0.0477994687911765
"163","C.EW","2012","GLD",0.332678639313274
"164","C.EW","2012","IWM",0.0476190476190476
"165","C.EW","2012","IYR",0.0476225169766299
"166","C.EW","2012","QQQ",0.0476190476190476
"167","C.EW","2012","SPY",0.047705816325834
"168","C.EW","2012","TLT",0.166264024114372
"169","C.EW","2012","USO",0.047519991772768
"170","C.EW","2012","UUP",0.166715101786156
"171","C.EW","2013","EEM",0.0356601728623843
"172","C.EW","2013","EFA",0.0362087295319129
"173","C.EW","2013","GLD",0.249580366092668
"174","C.EW","2013","IWM",0.0364216537230998
"175","C.EW","2013","IYR",0.0359944589179667
"176","C.EW","2013","QQQ",0.0363390679479556
"177","C.EW","2013","SPY",0.0363886131789036
"178","C.EW","2013","TLT",0.246608300053554
"179","C.EW","2013","USO",0.0362936428523281
"180","C.EW","2013","UUP",0.250359022838407
"181","C.RP","2008","EEM",0.0174808642154638
"182","C.RP","2008","EFA",0.0298127110415358
"183","C.RP","2008","GLD",0.0981974732965371
"184","C.RP","2008","IWM",0.0262634146855304
"185","C.RP","2008","IYR",0.0195718653588026
"186","C.RP","2008","QQQ",0.0278615538262695
"187","C.RP","2008","SPY",0.0334271200518572
"188","C.RP","2008","TLT",0.295319804700387
"189","C.RP","2008","USO",0.0624679169443451
"190","C.RP","2008","UUP",0.39328766466902
"191","C.RP","2009","EEM",0.0136189452353769
"192","C.RP","2009","EFA",0.0190969492841487
"193","C.RP","2009","GLD",0.183119863397186
"194","C.RP","2009","IWM",0.0192936872735304
"195","C.RP","2009","IYR",0.0115207294687494
"196","C.RP","2009","QQQ",0.0237810733495913
"197","C.RP","2009","SPY",0.0218068459250448
"198","C.RP","2009","TLT",0.284372028589455
"199","C.RP","2009","USO",0.0161202905324287
"200","C.RP","2009","UUP",0.410322012606497
"201","C.RP","2010","EEM",0.0227733325942156
"202","C.RP","2010","EFA",0.0248714667095147
"203","C.RP","2010","GLD",0.205354732515317
"204","C.RP","2010","IWM",0.0242123800825765
"205","C.RP","2010","IYR",0.0216925383837301
"206","C.RP","2010","QQQ",0.0311258688581249
"207","C.RP","2010","SPY",0.0328423105286394
